,team,offense_score
0,frc4041,0.6826817726200853
1,frc1153,0.9585446476592105
2,frc2370,0.8140031361893173
3,frc88,0.9140607569759626
4,frc2342,0.5327891640439096
5,frc157,0.61486646682273
6,frc811,0.6373357993091526
7,frc3467,0.9788221113504971
8,frc246,0.43433097011470867
9,frc4909,0.8947449332603847
10,frc58,0.9046944021243004
11,frc1721,0.2749427295677008
12,frc509,0.6421263361420193
13,frc1073,0.7918976032546132
14,frc6153,0.7379522809118688
15,frc151,0.6630122556807181
16,frc2713,0.7816578347640398
17,frc501,0.5716304400130633
18,frc5687,0.9403610657030221
19,frc238,0.968317895345553
20,frc5813,0.9950280458882781
21,frc8724,0.8622818446329893
22,frc5459,0.6573989961351273
23,frc125,0.9960511169268577
24,frc8898,0.2732292575122448
25,frc8897,0.07816166054464352
26,frc8899,0.11736433578452458
27,frc5902,0.30526378866631154
28,frc1922,0.6691001115035666
29,frc7913,0.4327661501703052
30,frc131,0.8725598694007566
31,frc467,0.6973628615871639
32,frc5641,0.46306490897800184
33,frc5538,0.46396459175637067
34,frc3568,0.5139892078790511
35,frc6067,0.4442847643196122
36,frc1506,0.9591106403274664
37,frc6091,0.2576015126682245
38,frc5642,0.18819002167150434
39,frc4851,0.057166708760986916
40,frc5619,0.17657240414238626
41,frc5090,0.8973613546889467
42,frc2224,0.3529233349912993
43,frc3414,0.8465224227241003
44,frc59,0.8796216264378941
45,frc744,0.7440210484868744
46,frc1523,0.5164038276533797
47,frc2641,0.7746906878121269
48,frc4707,0.05464534074532914
49,frc8817,0.4089949786237912
50,frc5410,0.5970056762305788
51,frc7652,0.42420681574833125
52,frc3627,0.6192006364690911
53,frc2183,0.3887965478747237
54,frc8324,0.5573012281662548
55,frc7442,0.38349014056579117
56,frc4206,0.972623743205883
57,frc4481,0.9893105093581365
58,frc5472,0.8635564425405785
59,frc108,0.59046615371688
60,frc4592,0.612666337721147
61,frc5842,0.6630809951048321
62,frc348,0.44385724573639984
63,frc3932,0.7534828497875121
64,frc4471,0.07573853010263046
65,frc8754,0.2948671551434603
66,frc7833,0.09647164155725635
67,frc2190,0.7299852978307307
68,frc1744,0.364557600428774
69,frc1592,0.2810894781493685
70,frc2383,0.899260348332526
71,frc7403,0.5154310812647014
72,frc3164,0.7324454564532419
73,frc2846,0.32002236623142366
74,frc6044,0.5933243860335989
75,frc5232,0.9265042848389795
76,frc967,0.6937312564033452
77,frc537,0.6819396419563958
78,frc3298,0.40989885182798647
79,frc6686,0.39482641423343035
80,frc4741,0.745521487623492
