,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
0,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 64, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc233', 'frc33', 'frc1902'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 28, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc296', 'frc217', 'frc522'], dtype=object)}}",f,2006arc,2006arc_f1m1,1,,,,1,,"[{'key': '3nHAEXVGbVk', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2006arc/2006arc_f1m1.flv', 'type': 'tba'}]",blue
1,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 65, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc233', 'frc33', 'frc1902'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 81, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc296', 'frc217', 'frc522'], dtype=object)}}",f,2006arc,2006arc_f1m2,2,,,,1,,"[{'key': '4_3GQsdUZXo', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2006arc/2006arc_f1m2.flv', 'type': 'tba'}]",red
2,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 49, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc233', 'frc33', 'frc1902'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 113, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc296', 'frc217', 'frc522'], dtype=object)}}",f,2006arc,2006arc_f1m3,3,,,,1,,[],red
3,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 53, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc20', 'frc138', 'frc159'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 77, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc296', 'frc217', 'frc522'], dtype=object)}}",qf,2006arc,2006arc_qf1m1,1,,,,1,,"[{'key': 'Cj1txUS_2Is', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2006arc/2006arc_qf1m1.flv', 'type': 'tba'}]",red
4,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 50, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc20', 'frc138', 'frc159'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 63, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc296', 'frc217', 'frc522'], dtype=object)}}",qf,2006arc,2006arc_qf1m2,2,,,,1,,"[{'key': 'os_CR_VNcqY', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2006arc/2006arc_qf1m2.flv', 'type': 'tba'}]",red
5,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 91, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc179', 'frc126', 'frc585'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 41, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc120', 'frc1323', 'frc103'], dtype=object)}}",qf,2006arc,2006arc_qf2m1,1,,,,2,,"[{'key': 'PL10mMuU2qU', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2006arc/2006arc_qf2m1.flv', 'type': 'tba'}]",blue
6,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 58, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc179', 'frc126', 'frc585'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 43, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc120', 'frc1323', 'frc103'], dtype=object)}}",qf,2006arc,2006arc_qf2m2,2,,,,2,,"[{'key': '8249lFQFd0g', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2006arc/2006arc_qf2m2.flv', 'type': 'tba'}]",blue
7,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 42, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1023', 'frc1756', 'frc69'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 73, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc401', 'frc271', 'frc1138'], dtype=object)}}",qf,2006arc,2006arc_qf3m1,1,,,,3,,"[{'key': 'jcKNRGQlEFo', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2006arc/2006arc_qf3m1.flv', 'type': 'tba'}]",red
8,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 34, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1023', 'frc1756', 'frc69'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 54, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc401', 'frc271', 'frc1138'], dtype=object)}}",qf,2006arc,2006arc_qf3m2,2,,,,3,,"[{'key': 'LRkgNcMLrN4', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2006arc/2006arc_qf3m2.flv', 'type': 'tba'}]",red
9,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 72, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1816', 'frc343', 'frc60'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 75, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc233', 'frc33', 'frc1902'], dtype=object)}}",qf,2006arc,2006arc_qf4m1,1,,,,4,,"[{'key': '2dL4dGTz1Q8', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2006arc/2006arc_qf4m1.flv', 'type': 'tba'}]",red
10,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 74, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1816', 'frc343', 'frc60'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 100, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc233', 'frc33', 'frc1902'], dtype=object)}}",qf,2006arc,2006arc_qf4m2,2,,,,4,,"[{'key': 'rZoxN_da5_0', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2006arc/2006arc_qf4m2.flv', 'type': 'tba'}]",red
