,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
0,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 103, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2056', 'frc4334', 'frc1114'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 106, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc4143', 'frc67', 'frc2826'], dtype=object)}}",f,2012arc,2012arc_f1m1,1,,,,1,,"[{'key': 'pTs4iaK8hKs', 'type': 'youtube'}
 {'key': 'o3k9QhAfxfo?t=2395', 'type': 'youtube'}
 {'key': 'DbmvgrHc6Pg', 'type': 'youtube'}]",red
1,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 115, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2056', 'frc4334', 'frc1114'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 97, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc67', 'frc4143', 'frc2826'], dtype=object)}}",f,2012arc,2012arc_f1m2,2,,,,1,,"[{'key': 'q3o1TxKdCjk', 'type': 'youtube'}
 {'key': 'o3k9QhAfxfo?t=2557', 'type': 'youtube'}]",blue
2,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 94, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1114', 'frc2056', 'frc4334'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 72, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc4143', 'frc67', 'frc2826'], dtype=object)}}",f,2012arc,2012arc_f1m3,3,,,,1,,"[{'key': 'ABTTuwNsu6A', 'type': 'youtube'}
 {'key': 'o3k9QhAfxfo?t=2714', 'type': 'youtube'}]",blue
3,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 62, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1676', 'frc1592', 'frc245'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 79, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc4143', 'frc67', 'frc2826'], dtype=object)}}",qf,2012arc,2012arc_qf1m1,1,,,,1,,"[{'key': 'o3k9QhAfxfo', 'type': 'youtube'}]",red
4,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 33, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc245', 'frc1592', 'frc1676'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 77, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc67', 'frc2826', 'frc4143'], dtype=object)}}",qf,2012arc,2012arc_qf1m2,2,,,,1,,"[{'key': 'o3k9QhAfxfo?t=632', 'type': 'youtube'}]",red
5,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 59, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc234', 'frc3481', 'frc359'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 39, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc781', 'frc190', 'frc2949'], dtype=object)}}",qf,2012arc,2012arc_qf2m1,1,,,,2,,"[{'key': 'o3k9QhAfxfo?t=159', 'type': 'youtube'}]",blue
6,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 86, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc359', 'frc234', 'frc3481'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 85, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc781', 'frc190', 'frc2949'], dtype=object)}}",qf,2012arc,2012arc_qf2m2,2,,,,2,,"[{'key': 'o3k9QhAfxfo?t=857', 'type': 'youtube'}]",blue
7,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 61, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc195', 'frc2046', 'frc2415'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 86, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc4334', 'frc1114', 'frc2056'], dtype=object)}}",qf,2012arc,2012arc_qf3m1,1,,,,3,,"[{'key': 'o3k9QhAfxfo?t=317', 'type': 'youtube'}]",red
8,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 79, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc195', 'frc2415', 'frc2046'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 90, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1114', 'frc2056', 'frc4334'], dtype=object)}}",qf,2012arc,2012arc_qf3m2,2,,,,3,,"[{'key': 'o3k9QhAfxfo?t=1055', 'type': 'youtube'}]",red
9,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 65, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1218', 'frc2851', 'frc2590'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 7, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc973', 'frc2648', 'frc2557'], dtype=object)}}",qf,2012arc,2012arc_qf4m1,1,,,,4,,"[{'key': 'o3k9QhAfxfo?t=475', 'type': 'youtube'}
 {'key': 'SKdls2gB7O0', 'type': 'youtube'}]",blue
