,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
0,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 17, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc33', 'frc148', 'frc201'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 21, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc233', 'frc254', 'frc3357'], dtype=object)}}",f,2010arc,2010arc_f1m1,1,,,,1,,"[{'key': 'YKLk-NFn-7w', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2010arc/2010arc_f1m1.mp4', 'type': 'tba'}]",red
1,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 12, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc201', 'frc148', 'frc33'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 16, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc254', 'frc3357', 'frc233'], dtype=object)}}",f,2010arc,2010arc_f1m2,2,,,,1,,"[{'key': 'JmNUXN5kIAY', 'type': 'youtube'}
 {'key': '_dhxL6DUR7A', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2010arc/2010arc_f1m2.mp4', 'type': 'tba'}]",red
2,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 7, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1218', 'frc1730', 'frc234'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 7, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc233', 'frc3357', 'frc254'], dtype=object)}}",qf,2010arc,2010arc_qf1m1,1,,,,1,,[],
3,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 5, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1730', 'frc234', 'frc1218'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 19, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3357', 'frc233', 'frc254'], dtype=object)}}",qf,2010arc,2010arc_qf1m2,2,,,,1,,"[{'key': 'Bi7fFOe3UDA', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2010arc/2010arc_qf1m2.mp4', 'type': 'tba'}]",red
4,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 10, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1730', 'frc234', 'frc1218'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 12, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3357', 'frc254', 'frc233'], dtype=object)}}",qf,2010arc,2010arc_qf1m3,3,,,,1,,"[{'key': 'hebff6XkYcI', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2010arc/2010arc_qf1m3.mp4', 'type': 'tba'}]",red
5,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 15, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc70', 'frc1519', 'frc1918'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 15, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc25', 'frc1622', 'frc330'], dtype=object)}}",qf,2010arc,2010arc_qf2m1,1,,,,2,,"[{'key': 'Lok-PLtNk80', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2010arc/2010arc_qf2m1.mp4', 'type': 'tba'}]",
6,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 15, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1918', 'frc70', 'frc1519'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 17, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc25', 'frc330', 'frc1622'], dtype=object)}}",qf,2010arc,2010arc_qf2m2,2,,,,2,,"[{'key': 'MLTWmbCicng', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2010arc/2010arc_qf2m2.mp4', 'type': 'tba'}]",red
7,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 7, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1918', 'frc70', 'frc1519'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 12, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc330', 'frc1622', 'frc25'], dtype=object)}}",qf,2010arc,2010arc_qf2m3,3,,,,2,,"[{'key': 'kvA5lWRrn_k', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2010arc/2010arc_qf2m3.mp4', 'type': 'tba'}]",red
8,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 11, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc359', 'frc3280', 'frc71'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 15, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc201', 'frc148', 'frc33'], dtype=object)}}",qf,2010arc,2010arc_qf3m1,1,,,,3,,"[{'key': 'mvIcswFh5C4', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2010arc/2010arc_qf3m1.mp4', 'type': 'tba'}]",red
9,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 7, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc359', 'frc3280', 'frc71'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 18, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc148', 'frc201', 'frc33'], dtype=object)}}",qf,2010arc,2010arc_qf3m2,2,,,,3,,"[{'key': 'jJHa9f-13sY', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2010arc/2010arc_qf3m2.mp4', 'type': 'tba'}]",red
