,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
0,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 45, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc716', 'frc45', 'frc1272'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 100, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc71', 'frc494', 'frc435'], dtype=object)}}",f,2004arc,2004arc_f1m1,1,,,,1,,[],red
1,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 110, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc716', 'frc45', 'frc1272'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 85, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc71', 'frc494', 'frc435'], dtype=object)}}",f,2004arc,2004arc_f1m2,2,,,,1,,[],blue
2,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 105, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc716', 'frc45', 'frc1272'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 120, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc71', 'frc494', 'frc435'], dtype=object)}}",f,2004arc,2004arc_f1m3,3,,,,1,,"[{'key': 'QHzDdA7ocOw', 'type': 'youtube'}
 {'key': 'aaAlNVwSEgY', 'type': 'youtube'}]",red
3,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 120, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc237', 'frc121', 'frc386'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 95, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc60', 'frc33', 'frc1241'], dtype=object)}}",qf,2004arc,2004arc_qf1m1,1,,,,1,,[],blue
4,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 85, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc237', 'frc121', 'frc386'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 75, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc60', 'frc33', 'frc1241'], dtype=object)}}",qf,2004arc,2004arc_qf1m2,2,,,,1,,[],blue
5,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 140, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc71', 'frc494', 'frc435'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 20, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc188', 'frc111', 'frc65'], dtype=object)}}",qf,2004arc,2004arc_qf2m1,1,,,,2,,"[{'key': '010kngHHom8', 'type': 'youtube'}]",blue
6,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 160, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc71', 'frc494', 'frc435'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 130, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc188', 'frc111', 'frc65'], dtype=object)}}",qf,2004arc,2004arc_qf2m2,2,,,,2,,"[{'key': 'xN_esiULlfc', 'type': 'youtube'}]",blue
7,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 80, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc378', 'frc316', 'frc311'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 25, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc571', 'frc330', 'frc288'], dtype=object)}}",qf,2004arc,2004arc_qf3m1,1,,,,3,,[],blue
8,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 125, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc378', 'frc316', 'frc311'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 150, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc571', 'frc330', 'frc288'], dtype=object)}}",qf,2004arc,2004arc_qf3m2,2,,,,3,,[],red
9,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 40, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc378', 'frc316', 'frc311'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 190, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc571', 'frc330', 'frc288'], dtype=object)}}",qf,2004arc,2004arc_qf3m3,3,,,,3,,[],red
10,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 125, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc648', 'frc56', 'frc945'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 90, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc716', 'frc45', 'frc1272'], dtype=object)}}",qf,2004arc,2004arc_qf4m1,1,,,,4,,[],blue
11,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 20, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc648', 'frc56', 'frc945'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 165, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc716', 'frc45', 'frc1272'], dtype=object)}}",qf,2004arc,2004arc_qf4m2,2,,,,4,,"[{'key': 'Vay4CqSMS7c', 'type': 'youtube'}
 {'key': 'Y79m_ra9jgo', 'type': 'youtube'}]",red
12,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 30, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc648', 'frc56', 'frc945'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 85, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc716', 'frc45', 'frc1272'], dtype=object)}}",qf,2004arc,2004arc_qf4m3,3,,,,4,,[],red
