,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
0,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 0, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc80', 'frc368', 'frc399'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 42, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc64', 'frc60', 'frc330'], dtype=object)}}",f,2002ca,2002ca_f1m1,1,,,,1,,[],red
1,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 10, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc80', 'frc368', 'frc399'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 51, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc64', 'frc60', 'frc330'], dtype=object)}}",f,2002ca,2002ca_f1m2,2,,,,1,,[],red
2,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 10, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc702', 'frc498', 'frc861'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 41, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc64', 'frc60', 'frc330'], dtype=object)}}",qf,2002ca,2002ca_qf1m1,1,,,,1,,[],red
3,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 11, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc702', 'frc498', 'frc861'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 43, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc64', 'frc60', 'frc330'], dtype=object)}}",qf,2002ca,2002ca_qf1m2,2,,,,1,,[],red
4,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 41, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc691', 'frc524', 'frc22'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 1, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc962', 'frc599', 'frc598'], dtype=object)}}",qf,2002ca,2002ca_qf2m1,1,,,,2,,[],blue
5,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 37, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc691', 'frc524', 'frc22'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 11, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc962', 'frc599', 'frc598'], dtype=object)}}",qf,2002ca,2002ca_qf2m2,2,,,,2,,[],blue
6,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 0, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc597', 'frc980', 'frc974'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 46, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc80', 'frc368', 'frc399'], dtype=object)}}",qf,2002ca,2002ca_qf3m1,1,,,,3,,[],red
7,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 10, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc597', 'frc980', 'frc974'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 39, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc80', 'frc368', 'frc399'], dtype=object)}}",qf,2002ca,2002ca_qf3m2,2,,,,3,,[],red
8,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 53, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc114', 'frc968', 'frc995'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 20, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc492', 'frc295', 'frc696'], dtype=object)}}",qf,2002ca,2002ca_qf4m1,1,,,,4,,[],blue
9,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 33, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc114', 'frc968', 'frc995'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 14, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc492', 'frc295', 'frc696'], dtype=object)}}",qf,2002ca,2002ca_qf4m2,2,,,,4,,[],blue
