,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
0,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 28, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc191', 'frc179', 'frc494'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 65, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc245', 'frc217', 'frc766'], dtype=object)}}",f,2005arc,2005arc_f1m1,1,,,,1,,[],red
1,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 43, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc191', 'frc179', 'frc494'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 58, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc245', 'frc217', 'frc766'], dtype=object)}}",f,2005arc,2005arc_f1m2,2,,,,1,,"[{'key': 'RhUxA5hmqJk', 'type': 'youtube'}]",red
2,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 38, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc173', 'frc93', 'frc1027'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 70, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc245', 'frc217', 'frc766'], dtype=object)}}",qf,2005arc,2005arc_qf1m1,1,,,,1,,[],red
3,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 55, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc173', 'frc93', 'frc1027'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 61, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc245', 'frc217', 'frc766'], dtype=object)}}",qf,2005arc,2005arc_qf1m2,2,,,,1,,[],red
4,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 13, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1592', 'frc233', 'frc79'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 76, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc716', 'frc1114', 'frc107'], dtype=object)}}",qf,2005arc,2005arc_qf2m1,1,,,,2,,"[{'key': '0Dj4-hXLdP8', 'type': 'youtube'}]",red
5,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 75, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1592', 'frc233', 'frc79'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 27, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc716', 'frc1114', 'frc107'], dtype=object)}}",qf,2005arc,2005arc_qf2m2,2,,,,2,,"[{'key': 'P6HXM-O7src', 'type': 'youtube'}]",blue
6,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 29, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1592', 'frc233', 'frc79'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 0, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc716', 'frc1114', 'frc107'], dtype=object)}}",qf,2005arc,2005arc_qf2m3,3,,,,2,,"[{'key': 'bW60kOTPDUg', 'type': 'youtube'}]",blue
7,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 0, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1071', 'frc322', 'frc435'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 44, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc997', 'frc980', 'frc65'], dtype=object)}}",qf,2005arc,2005arc_qf3m1,1,,,,3,,"[{'key': 'w3-EA30oNkQ', 'type': 'youtube'}]",red
8,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 26, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1071', 'frc322', 'frc435'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 0, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc997', 'frc980', 'frc65'], dtype=object)}}",qf,2005arc,2005arc_qf3m2,2,,,,3,,"[{'key': '1WdmBDKYP64', 'type': 'youtube'}]",blue
9,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 50, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1071', 'frc322', 'frc435'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 57, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc997', 'frc980', 'frc65'], dtype=object)}}",qf,2005arc,2005arc_qf3m3,3,,,,3,,"[{'key': 'yQibUGJXPYA', 'type': 'youtube'}]",red
10,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 58, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc191', 'frc179', 'frc494'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 21, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc27', 'frc71', 'frc40'], dtype=object)}}",qf,2005arc,2005arc_qf4m1,1,,,,4,,"[{'key': 'T49J7GAioDM', 'type': 'youtube'}]",blue
11,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 33, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc191', 'frc179', 'frc494'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 72, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc27', 'frc71', 'frc40'], dtype=object)}}",qf,2005arc,2005arc_qf4m2,2,,,,4,,[],red
12,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 54, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc191', 'frc179', 'frc494'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 41, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc27', 'frc71', 'frc40'], dtype=object)}}",qf,2005arc,2005arc_qf4m3,3,,,,4,,[],blue
13,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 41, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1592', 'frc71', 'frc335'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 17, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc342', 'frc401', 'frc296'], dtype=object)}}",qm,2005arc,2005arc_qm1,1,,,,1,,"[{'key': 'aFElISDJpC8', 'type': 'youtube'}]",blue
14,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 49, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1094', 'frc1286', 'frc931'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 29, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc138', 'frc79', 'frc40'], dtype=object)}}",qm,2005arc,2005arc_qm10,10,,,,1,,[],blue
15,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 27, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc350', 'frc931', 'frc27'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 36, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc588', 'frc308', 'frc766'], dtype=object)}}",qm,2005arc,2005arc_qm100,100,,,,1,,"[{'key': 'V6dSMvIyCDw', 'type': 'youtube'}]",red
16,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 33, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc191', 'frc128', 'frc1027'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 57, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc217', 'frc93', 'frc322'], dtype=object)}}",qm,2005arc,2005arc_qm11,11,,,,1,,[],red
17,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 53, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc957', 'frc27', 'frc288'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 42, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc122', 'frc1497', 'frc1547'], dtype=object)}}",qm,2005arc,2005arc_qm12,12,,,,1,,[],blue
