,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
0,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 74, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc488', 'frc343', 'frc118'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 76, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc222', 'frc2753', 'frc1218'], dtype=object)}}",f,2009arc,2009arc_f1m1,1,,,,1,,[],red
1,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 63, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc343', 'frc118', 'frc488'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 107, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1218', 'frc222', 'frc2753'], dtype=object)}}",f,2009arc,2009arc_f1m2,2,,,,1,,"[{'key': 'j9AHwBEiGP0', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2009arc/2009arc_f1m2.flv', 'type': 'tba'}]",red
2,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 74, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2415', 'frc1002', 'frc107'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 86, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc503', 'frc2056', 'frc1114'], dtype=object)}}",qf,2009arc,2009arc_qf1m1,1,,,,1,,"[{'key': 'xLT6tXMHdg4', 'type': 'youtube'}
 {'key': '9Ge-Xtgevpk', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2009arc/2009arc_qf1m1.flv', 'type': 'tba'}]",red
3,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 64, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2415', 'frc107', 'frc1002'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 132, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2056', 'frc503', 'frc1114'], dtype=object)}}",qf,2009arc,2009arc_qf1m2,2,,,,1,,"[{'key': 'HC6elvsXvhc', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2009arc/2009arc_qf1m2.flv', 'type': 'tba'}]",red
4,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 108, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc222', 'frc1218', 'frc2753'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 81, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc624', 'frc125', 'frc1561'], dtype=object)}}",qf,2009arc,2009arc_qf2m1,1,,,,2,,"[{'key': 'tQTOBri6Tb0', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2009arc/2009arc_qf2m1.flv', 'type': 'tba'}]",blue
5,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 126, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc222', 'frc2753', 'frc1218'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 36, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1561', 'frc624', 'frc125'], dtype=object)}}",qf,2009arc,2009arc_qf2m2,2,,,,2,,[],blue
6,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 96, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc155', 'frc201', 'frc931'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 106, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1538', 'frc1649', 'frc1503'], dtype=object)}}",qf,2009arc,2009arc_qf3m1,1,,,,3,,"[{'key': 'yC6UwrBFLWM', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2009arc/2009arc_qf3m1.flv', 'type': 'tba'}]",red
7,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 57, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc931', 'frc155', 'frc201'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 106, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1538', 'frc1649', 'frc1503'], dtype=object)}}",qf,2009arc,2009arc_qf3m2,2,,,,3,,"[{'key': '5XYMECxMpOo', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2009arc/2009arc_qf3m2.flv', 'type': 'tba'}]",red
8,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 117, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc343', 'frc488', 'frc118'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 66, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc548', 'frc1987', 'frc353'], dtype=object)}}",qf,2009arc,2009arc_qf4m1,1,,,,4,,"[{'key': 'DxN-9mWQ3cs', 'type': 'youtube'}
 {'key': 'dP4XbCtubUI', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2009arc/2009arc_qf4m1.flv', 'type': 'tba'}]",blue
9,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 86, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc488', 'frc343', 'frc118'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 63, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc548', 'frc1987', 'frc353'], dtype=object)}}",qf,2009arc,2009arc_qf4m2,2,,,,4,,"[{'key': 'Gq5cWuyhRMw', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2009arc/2009arc_qf4m2.flv', 'type': 'tba'}]",blue
