,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
10,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 102, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc846', 'frc74', 'frc3098'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 104, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2054', 'frc330', 'frc3747'], dtype=object)}}",qf,2011arc,2011arc_qf4m2,2,,,,4,,"[{'key': 'Fa1vSR-0S0k', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qf4m2.mp4', 'type': 'tba'}]",red
11,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 20, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3494', 'frc1270', 'frc766'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 100, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc931', 'frc1510', 'frc1182'], dtype=object)}}",qm,2011arc,2011arc_qm1,1,,,,1,,"[{'key': 'zF_vk1yBOwE', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qm1.mp4', 'type': 'tba'}]",red
12,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 33, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1899', 'frc932', 'frc597'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 60, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3704', 'frc45', 'frc3481'], dtype=object)}}",qm,2011arc,2011arc_qm10,10,,,,1,,"[{'key': 'h7NEFtdk4Qo', 'type': 'youtube'}
 {'key': 'ZPWwt_PlUt8', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qm10.mp4', 'type': 'tba'}]",red
13,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 36, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1811', 'frc846', 'frc677'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 78, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc440', 'frc2169', 'frc2984'], dtype=object)}}",qm,2011arc,2011arc_qm100,100,,,,1,,"[{'key': 'vknvSrpEDjE', 'type': 'youtube'}]",red
14,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 69, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2949', 'frc1690', 'frc2500'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 80, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc155', 'frc45', 'frc3322'], dtype=object)}}",qm,2011arc,2011arc_qm101,101,,,,1,,"[{'key': 'S5BJcTYBCvk', 'type': 'youtube'}]",red
15,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 66, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3467', 'frc932', 'frc781'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 83, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1138', 'frc191', 'frc33'], dtype=object)}}",qm,2011arc,2011arc_qm102,102,,,,1,,[],red
16,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 70, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1918', 'frc876', 'frc1518'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 90, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3481', 'frc118', 'frc1014'], dtype=object)}}",qm,2011arc,2011arc_qm103,103,,,,1,,[],red
17,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 65, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3747', 'frc229', 'frc167'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 87, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc131', 'frc74', 'frc1000'], dtype=object)}}",qm,2011arc,2011arc_qm104,104,,,,1,,[],red
18,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 53, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc597', 'frc1547', 'frc3756'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 54, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1065', 'frc435', 'frc1482'], dtype=object)}}",qm,2011arc,2011arc_qm105,105,,,,1,,[],red
19,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 96, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3704', 'frc1912', 'frc2016'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 88, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2512', 'frc238', 'frc190'], dtype=object)}}",qm,2011arc,2011arc_qm106,106,,,,1,,[],blue
