,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
0,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 92, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1124', 'frc1024', 'frc177'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 84, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc842', 'frc365', 'frc987'], dtype=object)}}",f,2008arc,2008arc_f1m1,1,,,,1,,"[{'key': 'NTsduAoNZhY', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2008arc/2008arc_f1m1.flv', 'type': 'tba'}]",blue
1,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 50, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1124', 'frc177', 'frc1024'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 134, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc842', 'frc365', 'frc987'], dtype=object)}}",f,2008arc,2008arc_f1m2,2,,,,1,,"[{'key': 'wp6MpaZmdwA', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2008arc/2008arc_f1m2.flv', 'type': 'tba'}]",red
2,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 86, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc177', 'frc1024', 'frc1124'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 62, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc987', 'frc365', 'frc842'], dtype=object)}}",f,2008arc,2008arc_f1m3,3,,,,1,,"[{'key': 'igR4Z_L4_Vw', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2008arc/2008arc_f1m3.flv', 'type': 'tba'}]",blue
3,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 88, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1598', 'frc122', 'frc1771'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 114, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2166', 'frc71', 'frc11'], dtype=object)}}",qf,2008arc,2008arc_qf1m1,1,,,,1,,"[{'key': '8zU7_rCMoVA', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2008arc/2008arc_qf1m1.flv', 'type': 'tba'}]",red
4,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 68, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc122', 'frc1771', 'frc1598'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 122, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc71', 'frc11', 'frc2166'], dtype=object)}}",qf,2008arc,2008arc_qf1m2,2,,,,1,,"[{'key': 'PDo8Eq8mmvM', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2008arc/2008arc_qf1m2.flv', 'type': 'tba'}]",red
5,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 90, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2081', 'frc2335', 'frc1218'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 96, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc987', 'frc365', 'frc842'], dtype=object)}}",qf,2008arc,2008arc_qf2m1,1,,,,2,,"[{'key': 'qb4ffkzXTTU', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2008arc/2008arc_qf2m1.flv', 'type': 'tba'}]",red
6,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 68, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2081', 'frc1218', 'frc2335'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 118, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc365', 'frc842', 'frc987'], dtype=object)}}",qf,2008arc,2008arc_qf2m2,2,,,,2,,"[{'key': 'Iix_W1frFL4', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2008arc/2008arc_qf2m2.flv', 'type': 'tba'}]",red
7,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 94, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc292', 'frc201', 'frc41'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 86, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc93', 'frc525', 'frc27'], dtype=object)}}",qf,2008arc,2008arc_qf3m1,1,,,,3,,"[{'key': 'oo_XWchuiYU', 'type': 'youtube'}
 {'key': 'JhmlC-Ip_8U', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2008arc/2008arc_qf3m1.flv', 'type': 'tba'}]",blue
8,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 68, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc201', 'frc292', 'frc41'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 100, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc525', 'frc27', 'frc93'], dtype=object)}}",qf,2008arc,2008arc_qf3m2,2,,,,3,,"[{'key': '--wEuHA8cV0', 'type': 'youtube'}
 {'key': 'uSpvrgJLDq0', 'type': 'youtube'}
 {'key': 'W5LDU0n9Ipw', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2008arc/2008arc_qf3m2.flv', 'type': 'tba'}]",red
9,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 86, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc41', 'frc292', 'frc201'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 100, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc525', 'frc93', 'frc27'], dtype=object)}}",qf,2008arc,2008arc_qf3m3,3,,,,3,,"[{'key': 'u08Nr14NUQI', 'type': 'youtube'}
 {'key': 'vpnM9rg8d3g', 'type': 'youtube'}
 {'key': '0LhcGPHv3K8', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2008arc/2008arc_qf3m3.flv', 'type': 'tba'}]",red
