,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
0,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 72, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc179', 'frc233', 'frc71'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 66, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc107', 'frc85', 'frc386'], dtype=object)}}",f,2007arc,2007arc_f1m1,1,,,,1,,"[{'key': '_ivQCwMECeY', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2007arc/2007arc_f1m1.flv', 'type': 'tba'}]",blue
1,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 92, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc233', 'frc179', 'frc71'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 70, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc85', 'frc386', 'frc107'], dtype=object)}}",f,2007arc,2007arc_f1m2,2,,,,1,,[],blue
2,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 20, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc768', 'frc47', 'frc1533'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 88, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc494', 'frc997', 'frc254'], dtype=object)}}",qf,2007arc,2007arc_qf1m1,1,,,,1,,"[{'key': 'Ogi5MQjEep0', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2007arc/2007arc_qf1m1.flv', 'type': 'tba'}]",red
3,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 4, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc768', 'frc1533', 'frc47'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 84, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc494', 'frc997', 'frc254'], dtype=object)}}",qf,2007arc,2007arc_qf1m2,2,,,,1,,"[{'key': 'nx_XKIei9dw', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2007arc/2007arc_qf1m2.flv', 'type': 'tba'}]",red
4,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 58, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1824', 'frc1153', 'frc175'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 75, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc386', 'frc107', 'frc85'], dtype=object)}}",qf,2007arc,2007arc_qf2m1,1,,,,2,,"[{'key': 'wfXh5Hqb5L4', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2007arc/2007arc_qf2m1.flv', 'type': 'tba'}]",red
5,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 32, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1153', 'frc175', 'frc1824'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 98, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc85', 'frc386', 'frc107'], dtype=object)}}",qf,2007arc,2007arc_qf2m2,2,,,,2,,"[{'key': '4iwu01xvS9g', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2007arc/2007arc_qf2m2.flv', 'type': 'tba'}]",red
6,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 17, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc364', 'frc1501', 'frc1516'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 32, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc71', 'frc233', 'frc179'], dtype=object)}}",qf,2007arc,2007arc_qf3m1,1,,,,3,,"[{'key': '5bAeHg5XNO8', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2007arc/2007arc_qf3m1.flv', 'type': 'tba'}]",red
7,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 64, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1516', 'frc364', 'frc1501'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 128, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc71', 'frc179', 'frc233'], dtype=object)}}",qf,2007arc,2007arc_qf3m2,2,,,,3,,"[{'key': 'ACNCJaV1X7s', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2007arc/2007arc_qf3m2.flv', 'type': 'tba'}]",red
8,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 81, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc100', 'frc293', 'frc2062'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 82, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc223', 'frc27', 'frc1302'], dtype=object)}}",qf,2007arc,2007arc_qf4m1,1,,,,4,,"[{'key': '-fqub70_bto', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2007arc/2007arc_qf4m1.flv', 'type': 'tba'}]",red
9,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 106, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2062', 'frc100', 'frc293'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 74, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc27', 'frc223', 'frc1302'], dtype=object)}}",qf,2007arc,2007arc_qf4m2,2,,,,4,,"[{'key': 'X9YtFyWQBvA', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2007arc/2007arc_qf4m2.flv', 'type': 'tba'}]",blue
